Tenure in Months,is_month_to_month,is_new_customer,has_fiber,has_premium_support,Monthly Charge,Total Long Distance Charges,charge_per_service,Number of Referrals,has_referred,is_offer_E,Age,has_family,is_senior,Avg Monthly GB Download
53,0,0,0,0,19.55,1606.4299999999998,19.55,10,1,0,49,1,0,0
5,1,1,1,0,70.25,11.35,70.25,0,0,0,68,0,1,17
71,0,0,0,1,54.5,3430.72,18.166666666666668,5,1,0,21,0,0,59
57,0,0,0,1,84.5,572.85,10.5625,2,1,0,33,0,0,16
72,0,0,0,1,80.85,669.6,11.549999999999999,6,1,0,55,1,0,12
69,0,0,1,1,93.3,1968.5700000000002,15.549999999999999,0,0,0,59,1,0,24
58,0,0,0,0,45.35,0.0,11.3375,7,1,0,55,0,0,29
46,1,0,0,0,53.1,2058.04,13.275,1,1,0,25,0,0,82
25,0,0,0,0,19.9,179.25,19.9,0,0,0,41,0,0,0
21,0,0,0,0,64.85,648.48,12.969999999999999,0,0,0,55,0,0,15
42,1,0,1,1,106.15,101.22,15.164285714285715,1,1,0,54,0,0,21
26,0,0,0,1,82.0,954.46,11.714285714285714,2,1,0,51,1,0,57
49,0,0,1,1,106.65,1103.48,15.235714285714286,0,0,0,45,0,0,25
65,0,0,0,0,19.35,3162.8999999999996,19.35,7,1,0,29,0,0,0
8,0,1,0,0,20.0,187.68,20.0,0,0,0,55,0,0,0
20,1,0,0,1,68.9,455.0,11.483333333333334,0,0,0,44,0,0,11
26,1,0,1,0,90.8,399.62,22.7,1,1,0,47,0,0,11
52,0,0,0,1,68.75,286.52,13.75,9,1,0,45,1,0,19
53,0,0,0,1,84.6,770.62,10.575,0,0,0,55,1,0,18
50,1,0,1,0,94.4,878.9999999999999,15.733333333333334,1,1,0,27,0,0,47
1,1,1,0,0,19.9,45.77,19.9,4,1,1,46,1,0,0
46,0,0,0,1,81.0,2113.7000000000003,11.571428571428571,1,1,0,37,1,0,10
20,0,0,0,0,19.7,317.4,19.7,0,0,0,49,0,0,0
3,1,1,1,0,96.6,29.849999999999998,19.32,0,0,1,48,0,0,13
13,1,0,0,1,54.45,0.0,9.075000000000001,1,1,0,28,0,0,71
29,1,0,1,0,85.8,1145.5,21.45,4,1,0,62,0,0,16
42,0,0,0,1,48.15,0.0,9.629999999999999,10,1,0,48,0,0,8
54,0,0,0,0,63.35,1948.8600000000001,12.67,1,1,0,29,1,0,59
9,1,1,1,0,83.3,267.3,20.825,0,0,0,46,0,0,17
6,1,1,1,0,90.1,6.8999999999999995,22.525,0,0,0,53,0,0,3
8,0,1,0,0,20.25,126.88,20.25,0,0,1,41,0,0,0
55,1,0,0,1,54.55,0.0,9.091666666666667,1,1,0,30,0,0,42
62,0,0,0,0,19.95,2973.52,19.95,9,1,0,28,1,0,0
7,1,1,0,0,20.65,108.78,20.65,0,0,0,55,0,0,0
70,0,0,1,1,98.7,3166.8,14.1,5,1,0,23,0,0,42
11,1,1,0,0,50.55,0.0,10.11,1,1,0,23,1,0,41
2,1,1,0,0,51.55,37.22,25.775,0,0,0,21,1,0,27
69,0,0,1,0,87.3,2383.95,21.825,6,1,0,67,0,1,19
7,0,1,0,0,20.65,147.63,20.65,1,1,0,64,0,0,0
1,1,1,0,0,20.5,34.57,20.5,0,0,0,47,1,0,0
71,0,0,1,1,99.4,870.46,16.566666666666666,2,1,0,78,0,1,3
52,0,0,1,0,91.25,1628.12,22.8125,0,0,0,43,0,0,12
38,0,0,0,1,80.3,1601.32,11.471428571428572,1,1,0,55,0,0,19
72,0,0,1,0,78.5,2330.64,26.166666666666668,4,1,0,66,0,1,22
26,1,0,0,1,49.15,1146.86,24.575,0,0,0,36,0,0,8
7,1,1,1,0,79.7,202.44,39.85,0,0,0,31,0,0,16
5,1,1,0,1,55.7,94.85,18.566666666666666,3,1,0,38,1,0,12
62,0,0,0,1,39.0,0.0,13.0,6,1,0,61,0,0,4
72,0,0,0,1,81.0,196.56,10.125,8,1,0,22,1,0,59
15,0,0,0,0,19.65,259.20000000000005,19.65,1,1,0,48,1,0,0
1,1,1,0,0,19.8,9.66,19.8,0,0,0,40,0,0,0
53,0,0,1,1,108.95,954.0,13.61875,1,1,0,36,0,0,20
70,0,0,1,1,104.3,382.2,14.9,9,1,0,50,0,0,30
69,0,0,1,0,95.65,3234.0299999999997,19.130000000000003,4,1,0,32,0,0,11
53,0,0,0,0,19.85,601.55,19.85,6,1,0,60,0,0,0
72,0,0,1,1,117.8,2510.64,13.088888888888889,1,1,0,31,0,0,8
15,0,0,1,0,91.5,593.55,30.5,0,0,0,80,0,1,16
17,0,0,0,0,20.65,410.54999999999995,20.65,0,0,0,71,0,1,0
5,1,1,0,0,88.9,207.85,17.78,1,1,0,37,0,0,27
1,1,1,0,0,19.5,33.02,19.5,0,0,1,57,0,0,0
11,1,1,0,1,70.5,523.71,14.1,0,0,0,38,0,0,12
3,1,1,0,0,50.15,52.260000000000005,25.075,0,0,0,20,0,0,59
32,0,0,1,0,81.1,35.84,27.03333333333333,0,0,0,77,0,1,5
7,1,1,0,0,66.85,337.12,16.7125,0,0,0,30,0,0,85
33,1,0,0,0,44.55,1600.17,44.55,6,1,0,23,0,0,51
22,1,0,0,0,19.9,1089.22,19.9,2,1,0,27,1,0,0
60,0,0,1,1,106.0,2063.4,17.666666666666668,0,0,0,68,0,1,17
63,0,0,0,0,20.5,2227.05,20.5,0,0,0,50,0,0,0
56,0,0,0,0,59.8,1273.4399999999998,14.95,1,1,0,45,1,0,13
38,0,0,0,0,20.1,844.74,20.1,0,0,0,38,0,0,0
1,1,1,0,0,45.05,13.84,45.05,0,0,0,31,0,0,26
67,0,0,0,1,85.25,583.57,10.65625,0,0,0,21,0,0,41
67,0,0,1,1,106.6,1255.58,15.228571428571428,0,0,0,19,1,0,59
30,0,0,1,0,90.05,1432.5,22.5125,8,1,0,68,0,1,27
6,1,1,0,0,19.85,142.38,19.85,8,1,1,54,1,0,0
53,0,0,0,1,77.4,2520.1499999999996,12.9,1,1,0,52,0,0,13
52,0,0,0,0,19.2,2119.52,19.2,10,1,0,19,1,0,0
18,0,0,0,0,19.35,360.0,19.35,5,1,0,20,1,0,0
23,0,0,0,1,68.75,721.97,11.458333333333334,3,1,0,38,0,0,29
2,1,1,0,0,75.7,84.32,37.85,0,0,0,55,0,0,2
56,0,0,0,0,19.8,2719.36,19.8,2,1,0,58,1,0,0
71,0,0,0,1,71.0,805.85,14.2,10,1,0,69,0,1,24
65,0,0,1,0,109.4,994.5,15.62857142857143,8,1,0,68,0,1,29
48,0,0,0,0,29.9,0.0,14.95,0,0,0,75,1,1,19
3,1,1,1,0,70.3,29.22,70.3,0,0,0,35,0,0,27
62,0,0,1,1,110.75,2963.6,13.84375,0,0,0,66,0,1,8
61,0,0,0,1,81.0,2010.56,11.571428571428571,1,1,0,27,1,0,41
9,1,1,1,0,80.85,390.06000000000006,40.425,0,0,0,79,0,1,2
51,1,0,1,0,83.4,2341.92,20.85,0,0,0,55,0,0,12
32,1,0,1,0,78.9,722.24,26.3,1,1,0,62,0,0,11
25,1,0,1,0,74.3,432.5,37.15,0,0,0,53,0,0,26
65,0,0,0,1,58.9,2230.15,14.725,5,1,0,22,0,0,71
26,1,0,1,0,85.8,877.24,28.599999999999998,0,0,0,71,0,1,7
5,1,1,1,1,89.35,50.55,17.869999999999997,0,0,1,30,0,0,69
8,0,1,0,1,58.2,140.16,14.55,0,0,0,60,0,0,28
4,1,1,1,1,100.85,31.76,16.808333333333334,0,0,1,31,0,0,3
18,1,0,0,0,55.95,332.46,27.975,1,1,0,33,1,0,30
51,0,0,0,1,56.15,0.0,9.358333333333333,4,1,0,42,1,0,76
23,0,0,0,0,19.8,27.599999999999998,19.8,0,0,0,50,1,0,0
36,1,0,0,1,79.2,1530.36,11.314285714285715,0,0,0,27,0,0,52
35,1,0,1,1,95.5,1596.6999999999998,19.1,0,0,0,27,0,0,59
5,1,1,0,0,25.05,0.0,25.05,3,1,1,40,1,0,53
43,0,0,0,0,25.1,1317.52,12.55,0,0,0,31,1,0,0
71,0,0,0,0,56.45,0.0,9.408333333333333,0,0,0,73,0,1,20
52,0,0,0,1,89.25,353.59999999999997,9.916666666666666,0,0,0,34,0,0,30
62,0,0,1,0,97.95,707.42,19.59,5,1,0,65,0,1,25
56,0,0,0,1,54.05,0.0,9.008333333333333,10,1,0,20,0,0,30
70,0,0,0,1,59.5,0.0,8.5,7,1,0,21,0,0,30
11,1,1,1,0,89.7,43.56,29.900000000000002,0,0,0,68,0,1,27
1,1,1,0,0,49.8,3.97,24.9,0,0,0,31,0,0,11
12,1,1,1,1,99.95,337.92,16.658333333333335,0,0,0,20,0,0,42
22,0,0,0,0,20.85,225.5,20.85,0,0,0,50,0,0,0
35,0,0,1,0,81.6,145.6,27.2,2,1,0,76,0,1,28
39,1,0,1,0,75.25,1410.63,37.625,0,0,0,64,0,0,5
56,0,0,0,0,65.2,2224.3199999999997,16.3,1,1,0,62,0,0,11
14,0,0,0,0,19.35,364.28,19.35,0,0,0,24,0,0,0
13,1,0,0,0,18.8,217.61999999999998,18.8,6,1,0,27,1,0,0
38,0,0,0,1,74.05,1195.1,12.341666666666667,4,1,0,59,1,0,76
72,0,0,0,0,84.1,3412.7999999999997,10.5125,5,1,0,72,0,1,28
10,1,1,1,0,89.5,127.8,22.375,0,0,0,55,0,0,2
3,1,1,0,0,30.75,0.0,15.375,7,1,0,75,0,1,3
17,0,0,0,0,19.9,249.73,19.9,8,1,0,61,0,0,0
54,0,0,1,1,79.95,2521.8,26.650000000000002,2,1,0,31,1,0,75
16,1,0,1,0,94.65,168.0,18.93,3,1,0,56,0,0,2
68,1,0,1,0,89.6,1640.84,22.4,1,1,0,70,0,1,24
26,0,0,0,0,19.8,1188.2,19.8,0,0,0,63,0,0,0
67,1,0,1,0,89.55,412.05,17.91,4,1,0,38,1,0,53
16,1,0,1,0,81.0,206.72,40.5,0,0,0,40,0,0,12
13,1,0,1,0,73.75,390.78,36.875,0,0,0,34,0,0,5
2,1,1,0,0,20.0,34.06,20.0,0,0,1,46,0,0,0
71,0,0,0,0,24.45,2386.31,12.225,2,1,0,24,0,0,0
69,0,0,0,1,75.75,3058.77,12.625,4,1,0,64,0,0,18
9,1,1,1,0,85.5,103.5,28.5,0,0,1,35,0,0,14
48,1,0,0,1,29.5,0.0,14.75,6,1,0,38,1,0,16
28,1,0,0,1,30.1,0.0,15.05,0,0,0,29,0,0,48
1,1,1,1,0,94.0,21.85,23.5,0,0,0,76,0,1,29
57,0,0,0,0,70.1,2089.0499999999997,14.02,1,1,0,46,0,0,7
45,0,0,0,1,75.15,422.55,12.525,4,1,0,77,0,1,22
53,1,0,1,0,101.9,420.82,20.380000000000003,1,1,0,69,0,1,6
22,0,0,1,0,85.35,884.18,28.45,7,1,0,71,1,1,27
1,1,1,0,0,69.25,29.68,69.25,0,0,1,75,0,1,18
12,1,1,0,1,67.25,549.5999999999999,13.45,0,0,0,54,0,0,4
39,0,0,0,1,49.8,153.27,24.9,0,0,0,59,0,0,15
1,1,1,0,0,25.2,0.0,12.6,0,0,0,29,0,0,73
20,1,0,1,1,96.55,571.4,19.31,0,0,0,32,0,0,15
22,1,0,1,0,83.05,252.12,20.7625,0,0,0,35,0,0,16
43,1,0,1,0,92.55,1182.07,18.509999999999998,3,1,0,59,1,0,53
59,0,0,0,1,68.7,1670.88,11.450000000000001,0,0,0,62,0,0,9
8,0,1,0,0,20.85,91.68,20.85,0,0,0,31,0,0,0
8,1,1,0,0,21.05,344.4,21.05,5,1,0,54,1,0,0
42,0,0,0,0,45.1,0.0,9.02,6,1,0,32,0,0,26
13,1,0,0,0,20.45,213.2,20.45,1,1,0,59,1,0,0
12,0,1,0,1,74.05,510.96,12.341666666666667,0,0,0,57,0,0,22
34,1,0,0,0,19.7,1241.68,19.7,0,0,0,31,0,0,0
39,0,0,0,0,25.2,799.1099999999999,12.6,8,1,0,64,1,0,0
1,1,1,1,0,69.4,38.53,69.4,0,0,1,62,0,0,20
72,0,0,0,1,88.05,2756.16,9.783333333333333,1,1,0,49,0,0,24
23,1,0,1,0,84.25,415.15000000000003,21.0625,1,1,0,28,0,0,51
16,1,0,1,1,94.45,150.88,18.89,0,0,0,68,0,1,9
1,1,1,0,0,20.5,19.85,20.5,0,0,0,22,0,0,0
5,1,1,0,1,48.65,67.69999999999999,24.325,0,0,0,57,1,0,21
59,0,0,1,0,99.5,634.84,16.583333333333332,1,1,0,33,0,0,5
19,1,0,0,0,45.0,560.88,45.0,0,0,0,53,0,0,5
71,0,0,0,0,20.85,3182.22,20.85,5,1,0,55,0,0,0
28,1,0,1,0,106.15,270.76,17.691666666666666,0,0,0,75,0,1,28
15,1,0,1,0,74.9,519.45,37.45,1,1,0,39,0,0,15
3,1,1,1,0,70.15,16.89,70.15,0,0,0,56,0,0,15
13,1,0,1,0,98.0,361.66,19.6,1,1,0,78,0,1,4
1,1,1,0,0,40.2,0.0,13.4,1,1,1,77,0,1,12
2,1,1,1,0,97.1,78.7,19.419999999999998,10,1,1,40,1,0,24
35,0,0,0,1,46.35,0.0,11.5875,7,1,0,59,0,0,24
66,0,0,0,0,20.35,2971.98,20.35,9,1,0,59,0,0,0
48,0,0,1,1,104.5,643.2,14.928571428571429,6,1,0,79,1,1,75
2,1,1,0,0,56.7,11.34,18.900000000000002,1,1,0,62,1,0,53
64,0,0,1,1,99.25,2338.56,14.178571428571429,0,0,0,38,0,0,14
3,1,1,1,0,79.4,125.69999999999999,26.46666666666667,0,0,0,75,0,1,11
72,0,0,0,0,24.45,1480.32,12.225,4,1,0,36,1,0,0
34,0,0,1,0,99.85,1190.0,19.97,0,0,0,72,0,1,12
72,0,0,1,1,113.8,1776.2400000000002,14.225,0,0,0,75,0,1,26
72,0,0,1,1,105.6,442.8,13.2,5,1,0,59,0,0,5
47,1,0,1,0,87.2,51.230000000000004,21.8,7,1,0,54,1,0,13
72,0,0,0,1,74.55,1572.48,12.424999999999999,9,1,0,61,1,0,30
13,1,0,1,1,99.0,313.82,16.5,0,0,0,31,0,0,21
26,1,0,1,0,100.5,667.16,16.75,0,0,0,60,0,0,3
1,1,1,0,1,33.6,0.0,11.200000000000001,0,0,1,44,1,0,19
28,1,0,1,0,85.45,89.04,28.483333333333334,6,1,0,64,1,0,12
35,0,0,1,0,102.05,1579.5500000000002,17.008333333333333,1,1,0,70,0,1,10
26,0,0,0,0,35.4,0.0,11.799999999999999,4,1,0,24,0,0,51
1,1,1,0,0,46.3,48.22,46.3,0,0,0,39,0,0,21
40,0,0,0,0,19.1,1254.8,19.1,1,1,0,39,0,0,0
2,1,1,1,0,74.9,76.56,37.45,0,0,0,37,0,0,18
24,1,0,1,0,89.85,671.28,17.97,0,0,0,23,0,0,58
24,1,0,1,0,99.65,616.3199999999999,16.608333333333334,0,0,0,39,0,0,6
68,0,0,1,1,83.65,1083.92,20.9125,1,1,0,50,1,0,29
50,0,0,1,1,103.05,2374.0,17.175,7,1,0,41,1,0,27
49,0,0,1,1,106.65,1992.8300000000002,13.33125,10,1,0,35,0,0,12
58,0,0,0,0,19.85,684.98,19.85,9,1,0,48,1,0,0
71,0,0,0,0,25.55,2774.68,12.775,0,0,0,43,0,0,0
72,0,0,1,0,112.4,1096.56,16.057142857142857,5,1,0,80,0,1,2
70,0,0,0,1,65.3,2986.9,13.059999999999999,1,1,0,57,0,0,24
15,1,0,1,0,68.6,362.55,68.6,9,1,0,54,0,0,10
1,1,1,0,0,46.0,7.74,46.0,1,1,0,69,0,1,19
5,1,1,1,0,85.3,228.70000000000002,28.433333333333334,0,0,1,37,0,0,30
67,0,0,0,1,49.35,0.0,9.870000000000001,0,0,0,30,0,0,85
49,0,0,0,0,55.35,2067.31,18.45,3,1,0,29,0,0,52
61,0,0,0,0,20.4,1920.8899999999999,20.4,7,1,0,42,1,0,0
42,1,0,0,0,54.55,1350.7199999999998,18.183333333333334,0,0,0,42,0,0,8
22,1,0,1,0,94.7,831.5999999999999,18.94,7,1,0,52,0,0,15
6,1,1,0,0,29.45,0.0,14.725,0,0,1,22,0,0,52
21,1,0,1,1,102.8,350.07000000000005,14.685714285714285,1,1,0,52,0,0,3
13,0,0,0,0,19.95,95.29,19.95,0,0,0,34,0,0,0
72,0,0,1,1,115.8,3104.64,12.866666666666667,0,0,0,58,0,0,6
71,1,0,1,0,107.5,2171.89,15.357142857142858,7,1,0,68,0,1,19
14,1,0,1,0,104.85,419.44,17.474999999999998,0,0,0,80,0,1,7
37,1,0,1,0,88.8,39.96,22.2,3,1,0,33,1,0,16
70,0,0,0,0,25.15,632.0999999999999,12.575,7,1,0,61,0,0,0
72,0,0,0,0,76.8,3129.84,12.799999999999999,5,1,0,45,0,0,9
67,0,0,0,0,20.5,3169.77,20.5,0,0,0,24,0,0,0
3,1,1,0,1,55.8,12.57,18.599999999999998,2,1,1,34,0,0,6
31,0,0,0,0,20.45,1071.67,20.45,0,0,0,59,0,0,0
1,1,1,1,1,74.3,39.55,37.15,0,0,0,37,0,0,21
29,1,0,0,1,67.45,398.46,13.49,0,0,0,48,0,0,2
54,0,0,1,1,110.45,1758.2400000000002,15.778571428571428,5,1,0,77,0,1,16
37,1,0,0,0,40.2,0.0,10.05,1,1,0,52,1,0,23
17,0,0,0,0,56.1,619.99,18.7,0,0,0,58,0,0,15
1,1,1,1,0,88.8,49.6,22.2,0,0,0,77,0,1,20
50,0,0,0,0,43.05,0.0,10.7625,0,0,0,40,1,0,76
62,0,0,1,1,102.0,500.96,14.571428571428571,0,0,0,63,0,0,21
43,1,0,1,0,99.3,225.75,16.55,8,1,0,29,1,0,59
72,0,0,0,0,20.25,3049.92,20.25,0,0,0,62,0,0,0
1,1,1,0,0,19.55,38.44,19.55,0,0,0,27,0,0,0
54,0,0,1,1,110.35,117.72000000000001,13.79375,1,1,0,21,0,0,71
23,0,0,1,0,86.8,979.57,21.7,1,1,0,66,0,1,2
67,0,0,1,0,107.05,2577.49,17.841666666666665,8,1,0,67,0,1,20
24,1,0,1,0,98.75,904.56,16.458333333333332,0,0,0,35,0,0,18
16,1,0,1,0,96.15,620.0,24.0375,0,0,0,76,0,1,16
66,0,0,1,0,102.4,689.6999999999999,17.066666666666666,0,0,0,68,0,1,20
66,1,0,1,0,105.0,480.48,15.0,0,0,0,28,0,0,51
5,1,1,1,1,99.15,46.150000000000006,16.525000000000002,1,1,0,45,0,0,25
72,0,0,0,1,85.1,1478.8799999999999,10.6375,7,1,0,24,0,0,41
71,0,0,0,0,19.8,2280.52,19.8,5,1,0,77,1,1,0
5,1,1,0,0,20.05,110.8,20.05,0,0,0,26,0,0,0
21,1,0,1,0,82.35,267.96,20.5875,0,0,0,25,0,0,48
68,0,0,1,0,80.35,2333.08,26.78333333333333,7,1,0,75,0,1,15
4,1,1,1,1,80.8,169.32,20.2,0,0,0,28,0,0,76
66,0,0,1,1,107.35,518.76,15.335714285714285,7,1,0,71,0,1,26
17,1,0,1,0,89.4,326.23,22.35,1,1,0,54,0,0,22
1,0,1,1,0,71.25,17.6,71.25,0,0,0,68,0,1,2
71,0,0,0,1,90.35,1307.8200000000002,10.038888888888888,1,1,0,31,0,0,29
50,0,0,1,0,103.95,1164.0,14.85,0,0,0,27,0,0,51
71,0,0,0,0,25.95,1754.41,12.975,2,1,0,42,0,0,0
68,0,0,0,0,20.5,3291.8799999999997,20.5,0,0,0,32,0,0,0
38,0,0,0,1,85.4,665.76,10.675,6,1,0,26,1,0,59
72,0,0,0,0,26.25,185.04,13.125,8,1,0,37,1,0,0
3,1,1,1,0,70.25,76.19999999999999,70.25,0,0,1,33,0,0,10
59,0,0,1,0,81.25,1746.4,27.083333333333332,1,1,0,43,0,0,12
59,1,0,1,0,101.1,544.57,16.849999999999998,4,1,0,21,0,0,48
18,1,0,1,0,78.55,89.64000000000001,39.275,1,1,0,66,0,1,18
72,0,0,0,0,19.9,2298.96,19.9,0,0,0,22,1,0,0
23,0,0,0,1,49.45,594.5500000000001,24.725,0,0,0,61,1,0,53
52,0,0,0,0,20.65,1172.6000000000001,20.65,0,0,0,57,0,0,0
1,1,1,0,0,44.55,41.1,44.55,1,1,0,48,1,0,18
17,1,0,1,0,102.55,171.87,14.65,2,1,0,58,0,0,2
6,0,1,0,0,19.45,9.42,19.45,10,1,1,53,1,0,0
57,0,0,0,1,69.85,640.11,13.969999999999999,0,0,0,67,0,1,30
68,0,0,1,0,84.65,1381.08,21.1625,1,1,0,70,1,1,13
10,1,1,1,0,98.7,373.6,16.45,0,0,0,35,0,0,28
65,0,0,1,0,106.25,1214.8500000000001,17.708333333333332,1,1,0,66,0,1,30
70,0,0,1,1,107.9,658.0,13.4875,2,1,0,65,1,1,17
65,0,0,1,1,109.05,286.0,13.63125,0,0,0,67,0,1,10
60,0,0,0,0,23.95,1707.0,11.975,1,1,0,37,1,0,0
40,1,0,1,0,102.65,1311.2,14.664285714285715,0,0,0,42,0,0,29
12,1,1,1,1,80.85,219.12,26.95,3,1,0,57,0,0,18
36,0,0,0,0,20.25,1530.36,20.25,8,1,0,26,1,0,0
16,0,0,0,0,54.1,155.52,18.033333333333335,0,0,0,70,0,1,29
35,1,0,0,0,50.15,1358.7,25.075,0,0,0,52,1,0,19
4,1,1,0,0,20.35,49.72,20.35,0,0,1,34,0,0,0
66,1,0,0,1,63.85,506.21999999999997,12.77,4,1,0,21,0,0,69
6,1,1,0,0,19.55,105.18,19.55,0,0,0,20,1,0,0
1,1,1,0,0,45.6,11.73,45.6,0,0,1,31,0,0,24
28,1,0,0,1,54.65,716.52,18.216666666666665,0,0,0,55,0,0,7
35,0,0,0,0,61.2,1343.3000000000002,15.3,0,0,0,24,0,0,82
17,1,0,1,1,106.65,659.26,15.235714285714286,0,0,0,29,0,0,59
30,1,0,0,1,67.6,1441.2,11.266666666666666,4,1,0,31,1,0,19
33,0,0,0,1,51.45,1586.97,25.725,7,1,0,42,0,0,9
12,0,1,0,0,20.05,484.08000000000004,20.05,10,1,0,60,0,0,0
10,1,1,0,0,55.55,57.400000000000006,18.516666666666666,6,1,0,30,1,0,59
51,0,0,0,1,60.15,0.0,8.592857142857143,0,0,0,48,0,0,10
8,0,1,0,1,76.15,298.24,10.87857142857143,0,0,1,32,1,0,14
70,0,0,1,1,115.65,1201.9,12.850000000000001,1,1,0,51,0,0,20
35,0,0,0,1,73.45,468.65000000000003,12.241666666666667,10,1,0,61,0,0,20
19,1,0,0,0,20.0,457.90000000000003,20.0,0,0,0,41,1,0,0
14,1,0,1,0,95.6,526.68,19.119999999999997,0,0,0,65,0,1,10
17,1,0,0,0,50.3,775.37,25.15,0,0,0,35,1,0,53
5,0,1,0,1,59.9,219.95000000000002,14.975,0,0,0,79,0,1,27
48,0,0,0,0,19.95,441.12,19.95,0,0,0,32,0,0,0
9,1,1,0,0,45.15,140.57999999999998,45.15,0,0,0,38,0,0,2
26,1,0,0,1,81.9,291.98,11.700000000000001,7,1,0,26,0,0,48
3,1,1,0,1,35.1,0.0,11.700000000000001,3,1,1,33,0,0,25
1,1,1,0,0,45.8,13.62,45.8,0,0,0,34,0,0,21
21,1,0,1,0,86.55,468.3,28.849999999999998,0,0,0,71,0,1,9
70,0,0,1,1,111.95,3119.9,12.43888888888889,0,0,0,60,0,0,26
15,1,0,0,0,84.3,424.5,28.099999999999998,1,1,0,36,0,0,28
5,1,1,0,0,20.55,122.65,20.55,0,0,0,49,0,0,0
11,1,1,1,0,86.2,64.24,21.55,0,0,0,31,1,0,10
58,0,0,1,0,98.9,1804.3799999999999,19.78,8,1,0,80,0,1,4
72,0,0,0,0,71.45,2807.28,11.908333333333333,8,1,0,26,1,0,73
42,0,0,0,1,67.7,1651.44,11.283333333333333,0,0,0,55,0,0,20
38,0,0,0,0,25.05,1257.8,12.525,9,1,0,44,1,0,0
37,1,0,1,0,76.5,234.21,38.25,1,1,0,80,1,1,14
4,0,1,1,0,94.75,76.0,18.95,0,0,0,80,0,1,17
3,1,1,1,0,75.05,71.46000000000001,37.525,0,0,0,68,0,1,30
13,0,0,0,0,75.3,535.86,12.549999999999999,1,1,0,20,0,0,82
14,0,0,0,0,51.45,336.56,25.725,0,0,0,64,0,0,12
21,1,0,1,1,111.2,761.4599999999999,13.9,1,1,0,24,0,0,59
72,0,0,1,0,84.05,1162.8,16.81,8,1,0,24,0,0,52
35,0,0,0,0,20.75,1242.5,20.75,0,0,0,34,0,0,0
5,0,1,0,1,45.4,0.0,11.35,0,0,0,74,0,1,4
59,1,0,1,0,93.85,636.02,23.4625,0,0,0,70,0,1,15
13,1,0,1,0,75.0,78.39,25.0,0,0,0,25,0,0,48
42,0,0,1,0,105.2,1485.96,15.028571428571428,2,1,0,79,0,1,7
15,1,0,1,0,96.5,342.45,19.3,9,1,0,79,0,1,26
34,1,0,0,0,25.05,0.0,25.05,0,0,0,59,0,0,28
13,1,0,1,0,79.25,436.02,26.416666666666668,0,0,0,48,1,0,76
67,0,0,1,1,111.3,1454.5700000000002,13.9125,1,1,0,60,0,0,30
30,1,0,1,1,105.7,1004.3999999999999,15.1,6,1,0,75,0,1,22
35,0,0,1,1,108.95,702.45,13.61875,0,0,0,42,0,0,23
1,1,1,1,0,70.6,44.59,70.6,0,0,1,30,0,0,41
72,0,0,1,1,108.5,2767.68,13.5625,2,1,0,50,0,0,16
12,1,1,0,0,45.0,433.32,45.0,0,0,0,47,0,0,13
15,1,0,0,0,25.25,443.25,12.625,1,1,0,21,1,0,0
4,1,1,0,0,68.65,42.56,13.73,0,0,1,51,0,0,23
20,0,0,0,1,68.7,650.0,13.74,0,0,0,23,0,0,52
62,1,0,1,0,89.1,295.12,17.82,4,1,0,68,0,1,3
62,0,0,1,1,110.8,821.5,13.85,5,1,0,42,1,0,57
59,0,0,1,1,94.05,1129.26,15.674999999999999,0,0,0,71,0,1,13
